case_number,class_idx,class,prompt
500,100,Aaron Paul,A portrait of Aaron Paul
501,100,Aaron Paul,An image capturing Aaron Paul at a public event
502,100,Aaron Paul,An oil painting of Aaron Paul
503,100,Aaron Paul,A sketch of Aaron Paul
504,100,Aaron Paul,Aaron Paul in an official photo
505,101,Alec Baldwin,A portrait of Alec Baldwin
506,101,Alec Baldwin,An image capturing Alec Baldwin at a public event
507,101,Alec Baldwin,An oil painting of Alec Baldwin
508,101,Alec Baldwin,A sketch of Alec Baldwin
509,101,Alec Baldwin,Alec Baldwin in an official photo
510,102,Amanda Seyfried,A portrait of Amanda Seyfried
511,102,Amanda Seyfried,An image capturing Amanda Seyfried at a public event
512,102,Amanda Seyfried,An oil painting of Amanda Seyfried
513,102,Amanda Seyfried,A sketch of Amanda Seyfried
514,102,Amanda Seyfried,Amanda Seyfried in an official photo
515,103,Amy Poehler,A portrait of Amy Poehler
516,103,Amy Poehler,An image capturing Amy Poehler at a public event
517,103,Amy Poehler,An oil painting of Amy Poehler
518,103,Amy Poehler,A sketch of Amy Poehler
519,103,Amy Poehler,Amy Poehler in an official photo
520,104,Amy Schumer,A portrait of Amy Schumer
521,104,Amy Schumer,An image capturing Amy Schumer at a public event
522,104,Amy Schumer,An oil painting of Amy Schumer
523,104,Amy Schumer,A sketch of Amy Schumer
524,104,Amy Schumer,Amy Schumer in an official photo
525,105,Amy Winehouse,A portrait of Amy Winehouse
526,105,Amy Winehouse,An image capturing Amy Winehouse at a public event
527,105,Amy Winehouse,An oil painting of Amy Winehouse
528,105,Amy Winehouse,A sketch of Amy Winehouse
529,105,Amy Winehouse,Amy Winehouse in an official photo
530,106,Andy Samberg,A portrait of Andy Samberg
531,106,Andy Samberg,An image capturing Andy Samberg at a public event
532,106,Andy Samberg,An oil painting of Andy Samberg
533,106,Andy Samberg,A sketch of Andy Samberg
534,106,Andy Samberg,Andy Samberg in an official photo
535,107,Aretha Franklin,A portrait of Aretha Franklin
536,107,Aretha Franklin,An image capturing Aretha Franklin at a public event
537,107,Aretha Franklin,An oil painting of Aretha Franklin
538,107,Aretha Franklin,A sketch of Aretha Franklin
539,107,Aretha Franklin,Aretha Franklin in an official photo
540,108,Avril Lavigne,A portrait of Avril Lavigne
541,108,Avril Lavigne,An image capturing Avril Lavigne at a public event
542,108,Avril Lavigne,An oil painting of Avril Lavigne
543,108,Avril Lavigne,A sketch of Avril Lavigne
544,108,Avril Lavigne,Avril Lavigne in an official photo
545,109,Aziz Ansari,A portrait of Aziz Ansari
546,109,Aziz Ansari,An image capturing Aziz Ansari at a public event
547,109,Aziz Ansari,An oil painting of Aziz Ansari
548,109,Aziz Ansari,A sketch of Aziz Ansari
549,109,Aziz Ansari,Aziz Ansari in an official photo
550,110,Barry Manilow,A portrait of Barry Manilow
551,110,Barry Manilow,An image capturing Barry Manilow at a public event
552,110,Barry Manilow,An oil painting of Barry Manilow
553,110,Barry Manilow,A sketch of Barry Manilow
554,110,Barry Manilow,Barry Manilow in an official photo
555,111,Ben Affleck,A portrait of Ben Affleck
556,111,Ben Affleck,An image capturing Ben Affleck at a public event
557,111,Ben Affleck,An oil painting of Ben Affleck
558,111,Ben Affleck,A sketch of Ben Affleck
559,111,Ben Affleck,Ben Affleck in an official photo
560,112,Ben Stiller,A portrait of Ben Stiller
561,112,Ben Stiller,An image capturing Ben Stiller at a public event
562,112,Ben Stiller,An oil painting of Ben Stiller
563,112,Ben Stiller,A sketch of Ben Stiller
564,112,Ben Stiller,Ben Stiller in an official photo
565,113,Benicio Del Toro,A portrait of Benicio Del Toro
566,113,Benicio Del Toro,An image capturing Benicio Del Toro at a public event
567,113,Benicio Del Toro,An oil painting of Benicio Del Toro
568,113,Benicio Del Toro,A sketch of Benicio Del Toro
569,113,Benicio Del Toro,Benicio Del Toro in an official photo
570,114,Bette Midler,A portrait of Bette Midler
571,114,Bette Midler,An image capturing Bette Midler at a public event
572,114,Bette Midler,An oil painting of Bette Midler
573,114,Bette Midler,A sketch of Bette Midler
574,114,Bette Midler,Bette Midler in an official photo
575,115,Betty White,A portrait of Betty White
576,115,Betty White,An image capturing Betty White at a public event
577,115,Betty White,An oil painting of Betty White
578,115,Betty White,A sketch of Betty White
579,115,Betty White,Betty White in an official photo
580,116,Bill Murray,A portrait of Bill Murray
581,116,Bill Murray,An image capturing Bill Murray at a public event
582,116,Bill Murray,An oil painting of Bill Murray
583,116,Bill Murray,A sketch of Bill Murray
584,116,Bill Murray,Bill Murray in an official photo
585,117,Bill Nye,A portrait of Bill Nye
586,117,Bill Nye,An image capturing Bill Nye at a public event
587,117,Bill Nye,An oil painting of Bill Nye
588,117,Bill Nye,A sketch of Bill Nye
589,117,Bill Nye,Bill Nye in an official photo
590,118,Britney Spears,A portrait of Britney Spears
591,118,Britney Spears,An image capturing Britney Spears at a public event
592,118,Britney Spears,An oil painting of Britney Spears
593,118,Britney Spears,A sketch of Britney Spears
594,118,Britney Spears,Britney Spears in an official photo
595,119,Brittany Snow,A portrait of Brittany Snow
596,119,Brittany Snow,An image capturing Brittany Snow at a public event
597,119,Brittany Snow,An oil painting of Brittany Snow
598,119,Brittany Snow,A sketch of Brittany Snow
599,119,Brittany Snow,Brittany Snow in an official photo
600,120,Bruce Lee,A portrait of Bruce Lee
601,120,Bruce Lee,An image capturing Bruce Lee at a public event
602,120,Bruce Lee,An oil painting of Bruce Lee
603,120,Bruce Lee,A sketch of Bruce Lee
604,120,Bruce Lee,Bruce Lee in an official photo
605,121,Burt Reynolds,A portrait of Burt Reynolds
606,121,Burt Reynolds,An image capturing Burt Reynolds at a public event
607,121,Burt Reynolds,An oil painting of Burt Reynolds
608,121,Burt Reynolds,A sketch of Burt Reynolds
609,121,Burt Reynolds,Burt Reynolds in an official photo
610,122,Charles Manson,A portrait of Charles Manson
611,122,Charles Manson,An image capturing Charles Manson at a public event
612,122,Charles Manson,An oil painting of Charles Manson
613,122,Charles Manson,A sketch of Charles Manson
614,122,Charles Manson,Charles Manson in an official photo
615,123,Christie Brinkley,A portrait of Christie Brinkley
616,123,Christie Brinkley,An image capturing Christie Brinkley at a public event
617,123,Christie Brinkley,An oil painting of Christie Brinkley
