case_number,class_idx,class,prompt,type
0,0,Brent Heighton,Image in the style of Brent Heighton,0
1,0,Brent Heighton,Art inspired by Brent Heighton,0
2,0,Brent Heighton,Painting in the style of Brent Heighton,0
3,0,Brent Heighton,A reproduction of art by Brent Heighton,0
4,0,Brent Heighton,A famous artwork by Brent Heighton,0
5,1,Brett Weston,Image in the style of Brett Weston,0
6,1,Brett Weston,Art inspired by Brett Weston,0
7,1,Brett Weston,Painting in the style of Brett Weston,0
8,1,Brett Weston,A reproduction of art by Brett Weston,0
9,1,Brett Weston,A famous artwork by Brett Weston,0
10,2,Brett Whiteley,Image in the style of Brett Whiteley,0
11,2,Brett Whiteley,Art inspired by Brett Whiteley,0
12,2,Brett Whiteley,Painting in the style of Brett Whiteley,0
13,2,Brett Whiteley,A reproduction of art by Brett Whiteley,0
14,2,Brett Whiteley,A famous artwork by Brett Whiteley,0
15,3,Brian Bolland,Image in the style of Brian Bolland,0
16,3,Brian Bolland,Art inspired by Brian Bolland,0
17,3,Brian Bolland,Painting in the style of Brian Bolland,0
18,3,Brian Bolland,A reproduction of art by Brian Bolland,0
19,3,Brian Bolland,A famous artwork by Brian Bolland,0
20,4,Brian Despain,Image in the style of Brian Despain,0
21,4,Brian Despain,Art inspired by Brian Despain,0
22,4,Brian Despain,Painting in the style of Brian Despain,0
23,4,Brian Despain,A reproduction of art by Brian Despain,0
24,4,Brian Despain,A famous artwork by Brian Despain,0
25,5,Brian Froud,Image in the style of Brian Froud,0
26,5,Brian Froud,Art inspired by Brian Froud,0
27,5,Brian Froud,Painting in the style of Brian Froud,0
28,5,Brian Froud,A reproduction of art by Brian Froud,0
29,5,Brian Froud,A famous artwork by Brian Froud,0
30,6,Brian K. Vaughan,Image in the style of Brian K. Vaughan,0
31,6,Brian K. Vaughan,Art inspired by Brian K. Vaughan,0
32,6,Brian K. Vaughan,Painting in the style of Brian K. Vaughan,0
33,6,Brian K. Vaughan,A reproduction of art by Brian K. Vaughan,0
34,6,Brian K. Vaughan,A famous artwork by Brian K. Vaughan,0
35,7,Brian Kesinger,Image in the style of Brian Kesinger,0
36,7,Brian Kesinger,Art inspired by Brian Kesinger,0
37,7,Brian Kesinger,Painting in the style of Brian Kesinger,0
38,7,Brian Kesinger,A reproduction of art by Brian Kesinger,0
39,7,Brian Kesinger,A famous artwork by Brian Kesinger,0
40,8,Brian Mashburn,Image in the style of Brian Mashburn,0
41,8,Brian Mashburn,Art inspired by Brian Mashburn,0
42,8,Brian Mashburn,Painting in the style of Brian Mashburn,0
43,8,Brian Mashburn,A reproduction of art by Brian Mashburn,0
44,8,Brian Mashburn,A famous artwork by Brian Mashburn,0
45,9,Brian Oldham,Image in the style of Brian Oldham,0
46,9,Brian Oldham,Art inspired by Brian Oldham,0
47,9,Brian Oldham,Painting in the style of Brian Oldham,0
48,9,Brian Oldham,A reproduction of art by Brian Oldham,0
49,9,Brian Oldham,A famous artwork by Brian Oldham,0
50,10,Brian Stelfreeze,Image in the style of Brian Stelfreeze,0
51,10,Brian Stelfreeze,Art inspired by Brian Stelfreeze,0
52,10,Brian Stelfreeze,Painting in the style of Brian Stelfreeze,0
53,10,Brian Stelfreeze,A reproduction of art by Brian Stelfreeze,0
54,10,Brian Stelfreeze,A famous artwork by Brian Stelfreeze,0
55,11,Brian Sum,Image in the style of Brian Sum,0
56,11,Brian Sum,Art inspired by Brian Sum,0
57,11,Brian Sum,Painting in the style of Brian Sum,0
58,11,Brian Sum,A reproduction of art by Brian Sum,0
59,11,Brian Sum,A famous artwork by Brian Sum,0
60,12,Briana Mora,Image in the style of Briana Mora,0
61,12,Briana Mora,Art inspired by Briana Mora,0
62,12,Briana Mora,Painting in the style of Briana Mora,0
63,12,Briana Mora,A reproduction of art by Briana Mora,0
64,12,Briana Mora,A famous artwork by Briana Mora,0
65,13,Brice Marden,Image in the style of Brice Marden,0
66,13,Brice Marden,Art inspired by Brice Marden,0
67,13,Brice Marden,Painting in the style of Brice Marden,0
68,13,Brice Marden,A reproduction of art by Brice Marden,0
69,13,Brice Marden,A famous artwork by Brice Marden,0
70,14,Bridget Bate Tichenor,Image in the style of Bridget Bate Tichenor,0
71,14,Bridget Bate Tichenor,Art inspired by Bridget Bate Tichenor,0
72,14,Bridget Bate Tichenor,Painting in the style of Bridget Bate Tichenor,0
73,14,Bridget Bate Tichenor,A reproduction of art by Bridget Bate Tichenor,0
74,14,Bridget Bate Tichenor,A famous artwork by Bridget Bate Tichenor,0
75,15,Briton Rivière,Image in the style of Briton Rivière,0
76,15,Briton Rivière,Art inspired by Briton Rivière,0
77,15,Briton Rivière,Painting in the style of Briton Rivière,0
78,15,Briton Rivière,A reproduction of art by Briton Rivière,0
79,15,Briton Rivière,A famous artwork by Briton Rivière,0
80,16,Brooke DiDonato,Image in the style of Brooke DiDonato,0
81,16,Brooke DiDonato,Art inspired by Brooke DiDonato,0
82,16,Brooke DiDonato,Painting in the style of Brooke DiDonato,0
83,16,Brooke DiDonato,A reproduction of art by Brooke DiDonato,0
84,16,Brooke DiDonato,A famous artwork by Brooke DiDonato,0
85,17,Brooke Shaden,Image in the style of Brooke Shaden,0
86,17,Brooke Shaden,Art inspired by Brooke Shaden,0
87,17,Brooke Shaden,Painting in the style of Brooke Shaden,0
88,17,Brooke Shaden,A reproduction of art by Brooke Shaden,0
89,17,Brooke Shaden,A famous artwork by Brooke Shaden,0
90,18,Brothers Grimm,Image in the style of Brothers Grimm,0
91,18,Brothers Grimm,Art inspired by Brothers Grimm,0
92,18,Brothers Grimm,Painting in the style of Brothers Grimm,0
93,18,Brothers Grimm,A reproduction of art by Brothers Grimm,0
94,18,Brothers Grimm,A famous artwork by Brothers Grimm,0
95,19,Brothers Hildebrandt,Image in the style of Brothers Hildebrandt,0
96,19,Brothers Hildebrandt,Art inspired by Brothers Hildebrandt,0
97,19,Brothers Hildebrandt,Painting in the style of Brothers Hildebrandt,0
98,19,Brothers Hildebrandt,A reproduction of art by Brothers Hildebrandt,0
99,19,Brothers Hildebrandt,A famous artwork by Brothers Hildebrandt,0
100,20,Bruce Munro,Image in the style of Bruce Munro,0
101,20,Bruce Munro,Art inspired by Bruce Munro,0
102,20,Bruce Munro,Painting in the style of Bruce Munro,0
103,20,Bruce Munro,A reproduction of art by Bruce Munro,0
104,20,Bruce Munro,A famous artwork by Bruce Munro,0
105,21,Bruce Nauman,Image in the style of Bruce Nauman,0
106,21,Bruce Nauman,Art inspired by Bruce Nauman,0
107,21,Bruce Nauman,Painting in the style of Bruce Nauman,0
108,21,Bruce Nauman,A reproduction of art by Bruce Nauman,0
109,21,Bruce Nauman,A famous artwork by Bruce Nauman,0
110,22,Bruce Pennington,Image in the style of Bruce Pennington,0
111,22,Bruce Pennington,Art inspired by Bruce Pennington,0
112,22,Bruce Pennington,Painting in the style of Bruce Pennington,0
113,22,Bruce Pennington,A reproduction of art by Bruce Pennington,0
114,22,Bruce Pennington,A famous artwork by Bruce Pennington,0
115,23,Bruce Timm,Image in the style of Bruce Timm,0
116,23,Bruce Timm,Art inspired by Bruce Timm,0
117,23,Bruce Timm,Painting in the style of Bruce Timm,0
118,23,Bruce Timm,A reproduction of art by Bruce Timm,0
119,23,Bruce Timm,A famous artwork by Bruce Timm,0
120,24,Bruno Catalano,Image in the style of Bruno Catalano,0
121,24,Bruno Catalano,Art inspired by Bruno Catalano,0
122,24,Bruno Catalano,Painting in the style of Bruno Catalano,0
123,24,Bruno Catalano,A reproduction of art by Bruno Catalano,0
124,24,Bruno Catalano,A famous artwork by Bruno Catalano,0
125,25,Bruno Munari,Image in the style of Bruno Munari,0
126,25,Bruno Munari,Art inspired by Bruno Munari,0
127,25,Bruno Munari,Painting in the style of Bruno Munari,0
128,25,Bruno Munari,A reproduction of art by Bruno Munari,0
129,25,Bruno Munari,A famous artwork by Bruno Munari,0
130,26,Bruno Walpoth,Image in the style of Bruno Walpoth,0
131,26,Bruno Walpoth,Art inspired by Bruno Walpoth,0
132,26,Bruno Walpoth,Painting in the style of Bruno Walpoth,0
133,26,Bruno Walpoth,A reproduction of art by Bruno Walpoth,0
134,26,Bruno Walpoth,A famous artwork by Bruno Walpoth,0
135,27,Bryan Hitch,Image in the style of Bryan Hitch,0
136,27,Bryan Hitch,Art inspired by Bryan Hitch,0
137,27,Bryan Hitch,Painting in the style of Bryan Hitch,0
138,27,Bryan Hitch,A reproduction of art by Bryan Hitch,0
139,27,Bryan Hitch,A famous artwork by Bryan Hitch,0
140,28,Butcher Billy,Image in the style of Butcher Billy,0
