case_number,class_idx,class,prompt,type
500,100,A.J.Casson,Image in the style of A.J.Casson,1
501,100,A.J.Casson,Art inspired by A.J.Casson,1
502,100,A.J.Casson,Painting in the style of A.J.Casson,1
503,100,A.J.Casson,A reproduction of art by A.J.Casson,1
504,100,A.J.Casson,A famous artwork by A.JCasson.,1
505,101,Aaron Douglas,Image in the style of Aaron Douglas,1
506,101,Aaron Douglas,Art inspired by Aaron Douglas,1
507,101,Aaron Douglas,Painting in the style of Aaron Douglas,1
508,101,Aaron Douglas,A reproduction of art by Aaron Douglas,1
509,101,Aaron Douglas,A famous artwork by Aaron Douglas,1
510,102,Aaron Horkey,Image in the style of Aaron Horkey,1
511,102,Aaron Horkey,Art inspired by Aaron Horkey,1
512,102,Aaron Horkey,Painting in the style of Aaron Horkey,1
513,102,Aaron Horkey,A reproduction of art by Aaron Horkey,1
514,102,Aaron Horkey,A famous artwork by Aaron Horkey,1
515,103,Aaron Jasinski,Image in the style of Aaron Jasinski,1
516,103,Aaron Jasinski,Art inspired by Aaron Jasinski,1
517,103,Aaron Jasinski,Painting in the style of Aaron Jasinski,1
518,103,Aaron Jasinski,A reproduction of art by Aaron Jasinski,1
519,103,Aaron Jasinski,A famous artwork by Aaron Jasinski,1
520,104,Aaron Siskind,Image in the style of Aaron Siskind,1
521,104,Aaron Siskind,Art inspired by Aaron Siskind,1
522,104,Aaron Siskind,Painting in the style of Aaron Siskind,1
523,104,Aaron Siskind,A reproduction of art by Aaron Siskind,1
524,104,Aaron Siskind,A famous artwork by Aaron Siskind,1
525,105,Abbott Fuller Graves,Image in the style of Abbott Fuller Graves,1
526,105,Abbott Fuller Graves,Art inspired by Abbott Fuller Graves,1
527,105,Abbott Fuller Graves,Painting in the style of Abbott Fuller Graves,1
528,105,Abbott Fuller Graves,A reproduction of art by Abbott Fuller Graves,1
529,105,Abbott Fuller Graves,A famous artwork by Abbott Fuller Graves,1
